Subject,TspanAccErrorTotal,TspanMathErrorTotal,TspanAbsoluteScore,TspanPartialScore,TspanPartialScoreBlock1,TSpanPartialScoreBlock2,TspanPartialScoreBlock3,TspanSpeedErrorTotal,SspanAccErrorTotal,SspanSpeedErrorTotal,SspanAbsoluteScore,SspanPartialScore,SspanPartialScoreBlock1,SspanPartialScoreBlock2,SspanPartialScoreBlock3,SymmErrorTotal,OspanAccErrorTotal,OspanMathErrorTotal,OspanAbsoluteScore,OspanPartialScore,OspanPartialScoreBlock1,OspanPartialScoreBlock2,OspanPartialScoreBlock3,OspanSpeedErrorTotal,NumberSeriesTotalScore,RavensScore_A[Block],RavensScore_B[Block],RavensScore_C[Block],RavensScore_Total[Block],BeatPerception,MelodicMemory,V1,ACTIVE,PERCEPTUAL,MUSICAL,SINGING,EMOTIONS,GENERAL,instrument,Age,Gender,FamilyIncome,MotherEd,FatherEd,i.V1,i.ACTIVE,i.PERCEPTUAL,i.MUSICAL,i.SINGING,i.EMOTIONS,i.GENERAL,i.instrument,i.Age,i.Gender,i.FamilyIncome,i.MotherEd,i.FatherEd,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,Experiment
1001,4,5,32,47,13,17,17,1,1,0,30,37,14,10,13,1,3,5,27,43,15,12,16,2,7,8,9,11,28,11,6,1,37,60,32,43,41,95,Voice,18,Agender,5,6,8,1,37,60,32,43,41,95,Voice,18,Agender,5,6,8,5,4,5,6,2,5,6,1,3,5,7,7,7,7,7,7,6,7,6,5,6,5,1,5,4,6,7,6,5,7,7,5,7,7,7,6,7,7,2
1002,3,4,51,64,25,19,20,1,4,0,23,36,12,12,12,4,2,5,47,58,21,24,13,3,11,6,9,9,24,9,4,2,32,49,9,24,32,51,voice,18,FEMALE,3,6,6,2,32,49,9,24,32,51,voice,18,FEMALE,3,6,6,3,2,3,3,3,3,6,4,5,7,7,5,5,6,5,5,3,6,2,2,1,1,1,1,1,2,3,3,3,5,5,3,5,6,6,4,5,6,2
1003,1,4,26,60,21,19,20,3,0,0,22,32,12,7,13,0,1,3,56,67,22,25,20,2,11,9,10,11,30,12,7,3,32,53,19,19,35,67,trumpet,20,MALE,7,4,4,3,32,53,19,19,35,67,trumpet,20,MALE,7,4,4,4,1,3,3,2,5,6,3,5,6,6,6,6,6,6,6,5,6,4,2,1,5,1,4,2,4,5,2,2,3,2,1,3,7,7,5,6,7,2
1005,4,4,25,50,13,16,21,0,0,0,29,36,12,10,14,0,2,2,30,57,18,16,23,0,10,11,6,10,27,15,8,4,26,40,8,33,30,55,none,18,FEMALE,1,1,2,4,26,40,8,33,30,55,none,18,FEMALE,1,1,2,4,2,4,3,1,3,5,2,2,6,6,4,2,6,5,3,5,3,2,1,1,1,1,1,1,3,6,5,5,3,6,5,5,6,7,2,3,7,2
1006,6,8,50,65,22,20,23,2,1,6,9,28,10,8,10,7,2,3,61,71,23,25,23,1,10,9,9,8,26,12,7,5,53,52,27,36,37,93,piano,18,FEMALE,9,4,8,5,53,52,27,36,37,93,piano,18,FEMALE,9,4,8,6,3,6,7,5,7,7,5,7,6,6,5,6,5,6,6,5,7,5,5,3,5,1,4,4,5,7,5,5,3,6,5,5,7,7,6,5,7,2
1007,5,5,3,7,1,3,3,0,4,0,22,26,11,6,9,4,8,15,12,15,14,1,0,7,12,6,6,8,20,16,10,6,42,56,30,40,41,91,guitar,18,MALE,6,6,6,6,42,56,30,40,41,91,guitar,18,MALE,6,6,6,6,1,5,6,4,6,7,4,3,7,7,7,1,7,7,7,7,6,6,5,4,5,5,3,2,6,7,7,2,6,7,5,7,7,7,7,7,6,2
1008,4,5,65,71,23,25,23,1,1,0,28,34,13,12,9,1,2,2,59,70,24,25,21,0,8,9,9,6,24,11,9,7,38,45,22,24,33,72,guitar,20,female,2,2,2,7,38,45,22,24,33,72,guitar,20,female,2,2,2,3,3,4,5,4,5,6,4,4,6,6,4,5,6,6,5,2,5,5,2,4,3,1,5,2,4,6,2,3,1,5,3,5,6,6,4,6,6,2
1009,6,6,8,30,9,8,13,0,4,0,17,25,8,11,6,4,3,5,38,56,21,16,19,2,12,9,6,8,23,13,6,8,40,57,14,30,22,75,voice,20,MALE,7,4,6,8,40,57,14,30,22,75,voice,20,MALE,7,4,6,5,1,4,3,1,7,7,7,5,7,7,5,7,4,7,7,6,7,1,2,7,1,1,1,1,5,7,3,1,3,6,5,4,4,7,1,1,5,2
1010,4,5,49,65,19,23,23,1,0,1,37,41,13,14,14,1,3,3,75,75,25,25,25,0,13,11,9,10,30,15,5,9,43,58,37,36,35,90,PIANO,21,FEMALE,3,5,2,9,43,58,37,36,35,90,PIANO,21,FEMALE,3,5,2,5,4,6,5,5,7,6,3,2,7,7,7,6,6,7,7,5,6,6,6,5,5,5,6,4,4,6,6,6,4,5,5,6,6,6,5,5,7,2
1011,4,4,3,34,11,14,9,0,2,0,17,26,13,7,6,2,5,6,24,41,16,17,8,1,9,10,9,10,29,12,7,10,28,46,8,33,27,59,,18,FEMALE,2,8,5,10,28,46,8,33,27,59,,18,FEMALE,2,8,5,2,2,3,5,1,5,6,3,1,6,5,5,4,6,7,6,2,5,2,1,1,1,1,1,1,5,6,5,4,5,5,3,2,2,6,5,5,7,2
